date,competition,home_team,away_team,home_goals,away_goals
18/05/25,Premier League,Chelsea,Man Utd,Postponed,Postponed
03/11/24,Premier League,Man Utd,Chelsea,1,1
04/04/24,Premier League,Chelsea,Man Utd,4,3
06/12/23,Premier League,Man Utd,Chelsea,2,1
25/05/23,Premier League,Man Utd,Chelsea,4,1
22/04/23,Premier League,Man Utd,Chelsea,Postponed,Postponed
22/10/22,Premier League,Chelsea,Man Utd,1,1
28/04/22,Premier League,Man Utd,Chelsea,1,1
28/11/21,Premier League,Chelsea,Man Utd,1,1
28/02/21,Premier League,Chelsea,Man Utd,0,0
24/10/20,Premier League,Man Utd,Chelsea,0,0
19/07/20,FA Cup,Man Utd,Chelsea,1,3
17/02/20,Premier League,Chelsea,Man Utd,0,2
30/10/19,EFL Cup,Chelsea,Man Utd,1,2
11/08/19,Premier League,Man Utd,Chelsea,4,0
28/04/19,Premier League,Man Utd,Chelsea,1,1
18/02/19,FA Cup,Chelsea,Man Utd,0,2
20/10/18,Premier League,Chelsea,Man Utd,2,2
19/05/18,FA Cup,Chelsea,Man Utd,1,0
25/02/18,Premier League,Man Utd,Chelsea,2,1
05/11/17,Premier League,Chelsea,Man Utd,1,0
16/04/17,Premier League,Man Utd,Chelsea,2,0
13/03/17,FA Cup,Chelsea,Man Utd,1,0
23/10/16,Premier League,Chelsea,Man Utd,4,0
07/02/16,Premier League,Chelsea,Man Utd,1,1
28/12/15,Premier League,Man Utd,Chelsea,0,0
18/04/15,Premier League,Chelsea,Man Utd,1,0
26/10/14,Premier League,Man Utd,Chelsea,1,1
19/01/14,Premier League,Chelsea,Man Utd,3,1
26/08/13,Premier League,Man Utd,Chelsea,0,0
05/05/13,Premier League,Man Utd,Chelsea,0,1
01/04/13,FA Cup,Chelsea,Man Utd,1,0
10/03/13,FA Cup,Man Utd,Chelsea,2,2
31/10/12,EFL Cup,Chelsea,Man Utd,5,4
28/10/12,Premier League,Chelseax2,Man Utd,2,3
05/02/12,Premier League,Chelsea,Man Utd,3,3
18/09/11,Premier League,Man Utd,Chelsea,3,1
08/05/11,Premier League,Man Utd,Chelsea,2,1
12/04/11,UEFA Champions League,Man Utd,Chelsea,2,1
06/04/11,UEFA Champions League,Chelsea,Man Utd,0,1
01/03/11,Premier League,Chelsea,Man Utd,2,1
19/12/10,Premier League,Chelsea,Man Utd,Postponed,Postponed
08/08/10,Community Shield,Chelsea,Man Utd,1,3
03/04/10,Premier League,Man Utd,Chelsea,1,2
08/11/09,Premier League,Chelsea,Man Utd,1,0
09/08/09,Community Shield,Man Utd,Chelsea,2,2
11/01/09,Premier League,Man Utd,Chelsea,3,0
21/09/08,Premier League,Chelsea,Man Utd,1,1
21/05/08,UEFA Champions League,Man Utd,Chelsea,1 (6),1 (5)
26/04/08,Premier League,Chelsea,Man Utd,2,1
23/09/07,Premier League,Man Utd,Chelsea,2,0
09/05/07,Premier League,Chelsea,Man Utd,0,0
26/11/06,Premier League,Man Utd,Chelsea,1,1
29/04/06,Premier League,Chelsea,Man Utd,3,0
06/11/05,Premier League,Man Utd,Chelsea,1,0
10/05/05,Premier League,Man Utd,Chelsea,1,3
15/08/04,Premier League,Chelsea,Man Utd,1,0
08/05/04,Premier League,Man Utd,Chelsea,1,1
30/11/03,Premier League,Chelsea,Man Utd,1,0
18/01/03,Premier League,Man Utd,Chelsea,2,1
23/08/02,Premier League,Chelsea,Man Utd,2,2
20/04/02,Premier League,Chelsea,Man Utd,0,3
01/12/01,Premier League,Man Utd,Chelsea,0,3
10/02/01,Premier League,Chelsea,Man Utd,1,1
23/09/00,Premier League,Man Utd,Chelsea,3,3
24/04/00,Premier League,Man Utd,Chelsea,3,2
03/10/99,Premier League,Chelsea,Man Utd,5,0
29/12/98,Premier League,Chelsea,Man Utd,0,0
16/12/98,Premier League,Man Utd,Chelsea,1,1
28/02/98,Premier League,Chelsea,Man Utd,0,1
24/09/97,Premier League,Man Utd,Chelsea,2,2
22/02/97,Premier League,Chelsea,Man Utd,1,1
02/11/96,Premier League,Man Utd,Chelsea,1,2
02/12/95,Premier League,Man Utd,Chelsea,1,1
21/10/95,Premier League,Chelsea,Man Utd,1,4
17/04/95,Premier League,Man Utd,Chelsea,0,0
26/12/94,Premier League,Chelsea,Man Utd,2,3
05/03/94,Premier League,Man Utd,Chelsea,0,1
11/09/93,Premier League,Chelsea,Man Utd,1,0
