date,competition,home_team,away_team,home_goals,away_goals
18/05/25,Premier League,Chelsea,Man Utd,Postponed,Postponed
03/11/24,Premier League,Man Utd,Chelsea,1,1
04/04/24,Premier League,Chelsea,Man Utd,4,3
06/12/23,Premier League,Man Utd,Chelsea,2,1
25/05/23,Premier League,Man Utd,Chelsea,4,1
22/04/23,Premier League,Man Utd,Chelsea,Postponed,Postponed
22/10/22,Premier League,Chelsea,Man Utd,1,1
28/04/22,Premier League,Man Utd,Chelsea,1,1
28/11/21,Premier League,Chelsea,Man Utd,1,1
28/02/21,Premier League,Chelsea,Man Utd,0,0
24/10/20,Premier League,Man Utd,Chelsea,0,0
19/07/20,FA Cup,Man Utd,Chelsea,1,3
17/02/20,Premier League,Chelsea,Man Utd,0,2
